歴史と	できごと
道具を	用いて
知能を	研究する
一分野を	指す
知的行動を	代わって
人間に	代わって
コンピュータに	行わせる
研究分野とも	される
次のように	説明した
誤解を	恐れず
平易に	いいかえるならば
これまで	できなかった
人間にしか	できなかった
創造などを	準備すれば
知識を	準備すれば
準備すれば	実行できるかを
それを	実行できるかを
機械的に	実行できるかを
実行できるかを	研究する
人工知能学とも	呼ばれる
情報理工学科コンピュータ科学専攻などで	行われている
大学で	使用された
事例が	ある
結論では	あると
SF作家らは	あると
筋書きを	面白くする
ために	好む
ディストピア的未来を	好む
傾向が	あると
[17]。しかし	与えてきたと
AIや	言えば
科学技術	言えば
出版配管航空旅行電話システムについて	言えば
科学技術は	与えてきたと
全て	与えてきたと
好影響を	与えてきたと
同教科書では	掲載されている
機能を	備えた
一般的に	関連している
知的存在に	関連している
課題を	実行する
ロボットが	実行する
間でも	あり
議論が	あり
それだけで	なってしまう
本と	なってしまう
見解の	異なる
中で	引き出して
部分を	引き出して
一言で	まとめると
知的作業を	する
機械を	実現する
工学的に	実現する
技術と	いえるだろう
仕組みを	解き明かそうとする
構成論的に	解き明かそうとする
学術論文	求めて
姿を	求めて
人工知能を	する
はじめと	する
知的能力を	実現する
コンピュータ上で	実現する
アルゴリズムとも	言われる
言語を	扱う
判断を	模倣する
パターンを	抽出する
検出や	抽出する
等が	ある
概念が	派生してきた
入れ子状に	派生してきた
1950年代から	始まった
人間が	与える
ルールを	与える
限界に	至り
データから	学ぶ
深層学習が	凌駕し
囲碁で	凌駕し
人間を	凌駕し
凌駕し	生じた
26][29]、第3次ブームが	生じた
画像を	創り出す
自ら	創り出す
生成AIが	普及し
社会に	普及し
第4次ブームとも	呼ばれ得る
実現を	目指す
研究開発も	行われている
Googleは	開始している
2011年以降	立ち上げ
基礎研究を	行う
GoogleBrainと	呼ばれる
専門組織を	立ち上げ
社内に	立ち上げ
彼らが	主導する
形で	創業した
カナダで	創業した
DNNResearchを	買収したり
買収したり	買収するなど
英国DeepMindを	買収するなど
投資を	開始している
公開	処理できるようにした
クラウド上も	含め
重み学習工程を	処理できるようにした
計算グラフとして	処理できるようにした
処理できるようにした	使用された
アプリケーション構築に	使用された
TensorFlowが	使用された
Googleは	開発している
アレン脳科学研究所と	連携し
連携し	生まれた
