履歴を	表示
出典:フリー百科事典	Wikipedia
ウィキペディア	Wikipedia
応用	英語版
課題と	哲学
哲学	英語版
歴史と	できごと
人工知能	AI
じんこうちのう	英:artificialintelligence
英:artificialintelligence	AI
AI	エーアイは
エーアイは	研究分野とも
計算	computationという
computationという	道具を
概念と	道具を
コンピュータ	computerという
computerという	道具を
道具を	用いて
用いて	研究する
知能を	研究する
研究する	計算機科学
計算機科学	computerscienceの
computerscienceの	一分野を
一分野を	指す
指す	1][注釈1]。「言語の
語[	1][注釈1]。「言語の
1][注釈1]。「言語の	推論
理解や	推論
推論	問題解決などの
問題解決などの	知的行動を
知的行動を	代わって
人間に	代わって
代わって	行わせる
コンピュータに	行わせる
行わせる	技術[
技術[	2]、または
2]、または	研究分野とも
計算機	コンピュータによる
コンピュータによる	情報処理システムの
知的な	情報処理システムの
情報処理システムの	実現に関する
設計や	実現に関する
実現に関する	研究分野とも
研究分野とも	される
される	[3]。命名者は
[3]。命名者は	[1]。
ジョンマッカーシー[4]。『日本大百科全書(ニッポニカ)』で	[1]。
情報工学者の	佐藤理史は
佐藤理史は	[1]。
次のように	説明した
説明した	[1]。
誤解を	恐れず
恐れず	いいかえるならば
平易に	いいかえるならば
いいかえるならば	[1]。
これまで	できなかった
人間にしか	できなかった
できなかった	行為
知的な	行為
行為	創造などを
認識	推論
推論	言語運用
言語運用	創造などを
創造などを	準備すれば
どのような	手順
手順	データ
アルゴリズムと	データ
どのような	データ
データ	知識を
事前情報や	知識を
知識を	準備すれば
準備すれば	実行できるかを
それを	実行できるかを
機械的に	実行できるかを
実行できるかを	研究する
研究する	分野である
分野である	[1]。
AIの	研究開発は
研究開発は	[17]。
人工知能学とも	呼ばれる
呼ばれる	5][6][7][8]。AIに関する
[	5][6][7][8]。AIに関する
5][6][7][8]。AIに関する	大学での
大学での	教育は
研究や	教育は
教育は	[17]。
電気工学コンピュータ科学部人工知能意思決定論科[9]、情報工学科[	10][11][12]や
10][11][12]や	情報理工学科コンピュータ科学専攻などで
情報理工学科コンピュータ科学専攻などで	行われている
行われている	[
[	10][13][注釈
10][13][注釈	2]。1200の
2]。1200の	大学で
大学で	使用された
使用された	事例が
事例が	ある
ある	コンピュータ科学の
コンピュータ科学の	教科書
教科書	エージェントアプローチ人工知能[
エージェントアプローチ人工知能[	16]の
16]の	結論では
2022年版の	最終章最終節
最終章最終節	結論では
結論では	あると
SF作家らは	あると
筋書きを	面白くする
面白くする	ために
ために	好む
ディストピア的未来を	好む
好む	傾向が
傾向が	あると
あると	されている
されている	[17]。しかし
[17]。しかし	与えてきたと
今までの	AIや
AIや	言えば
他の	科学技術
革命的な	科学技術
科学技術	言えば
出版配管航空旅行電話システムについて	言えば
言えば	与えてきたと
これらの	科学技術は
科学技術は	与えてきたと
全て	与えてきたと
好影響を	与えてきたと
与えてきたと	掲載されている
同教科書では	掲載されている
掲載されている	[17]。
人工知能の	定義解説
日本語辞典	広辞苑推論判断などの
広辞苑推論判断などの	機能を
知的な	機能を
機能を	備えた
備えた	コンピュータシステム[
コンピュータシステム[	18]
百科事典	ブリタニカ百科事典科学技術>コンピュータ人工知能
ブリタニカ百科事典科学技術>コンピュータ人工知能	AI
AI	アビリティ[19]
一般的に	関連している
知的存在に	関連している
関連している	課題を
課題を	実行する
デジタルコンピュータや	コンピュータ制御の
コンピュータ制御の	ロボットが
ロボットが	実行する
実行する	能力
能力	アビリティ[19]
人工知能学会記事	何かという
教養知識としての	AI
AI	何かという
人工知能とは	何かという
何かという	問いに対する
問いに対する	答えは
答えは	単純ではない
単純ではない	ものである
人工知能の	専門家の
専門家の	間でも
間でも	あり
大きな	議論が
議論が	あり
あり	なってしまう
それだけで	なってしまう
1冊の	本と
本と	なってしまう
なってしまう	ほど
ほど	ものである
見解の	異なる
異なる	ものである
ものである	技術と
そのような	中で
中で	引き出して
共通する	部分を
部分を	引き出して
引き出して	まとめると
一言で	まとめると
まとめると	技術と
人間と	同じ
同じ	知的作業を
知的作業を	する
する	機械を
機械を	実現する
工学的に	実現する
実現する	技術と
技術と	いえるだろう
いえるだろう	[20]
学術論文	人工知能人工知能は
深層学習と	人工知能人工知能は
人工知能人工知能は	[21]
人間の	知能の
知能の	仕組みを
仕組みを	解き明かそうとする
構成論的に	解き明かそうとする
解き明かそうとする	学問分野である
学問分野である	[21]
学術論文	求めて
人工知能社会の	姿を
あるべき	姿を
姿を	求めて
求めて	する
人工知能を	する
はじめと	する
する	情報技術は
情報技術は	22]
あくまで	22]
ツール[	22]
人間の	知的能力を
知的能力を	実現する
コンピュータ上で	実現する
実現する	技術ソフトウェア群コンピュータシステム
様々な	技術ソフトウェア群コンピュータシステム
技術ソフトウェア群コンピュータシステム	アルゴリズムとも
アルゴリズムとも	言われる
言われる	例は
知的エージェントも	例は
参照）[	23]。人工知能の
23]。人工知能の	例は
人間の	言語を
日常的な	言語を
言語を	扱う
扱う	自然言語処理
自然言語処理	25]）
機械翻訳かな漢字変換構文解析[	23][24]大規模言語モデル等[
23][24]大規模言語モデル等[	25]）
専門家の	判断を
推論や	判断を
判断を	模倣する
模倣する	エキスパートシステム[
エキスパートシステム[	23]
画像の	パターンを
パターンを	抽出する
検出や	抽出する
抽出する	画像認識[23]
等が	ある
ある	23][注釈3]。
[	23][注釈3]。
詳細は	参照
人工知能の	歴史を
歴史を	参照
ある	種の
種の	観点では
観点では	[26]。
人工知能の	70年以上の
70年以上の	歴史とは
歴史とは	[26]。
概念が	派生してきた
入れ子状に	派生してきた
派生してきた	過程である
過程である	[26]。
1950年代から	始まった
始まった	初期の
初期の	人工知能は
人工知能は	中心だったが
人間が	与える
ルールを	与える
与える	推論
探索と	推論
推論	知識表現
第1次ブームと	知識表現
知識表現	第2次ブームが
第2次ブームが	中心だったが
中心だったが	[26]。
限界に	至り
至り	[26]。
[	27][28]、1980年代には
27][28]、1980年代には	[26]。
データから	学ぶ
学ぶ	機械学習へ
機械学習へ	移行[
移行[	26][28]。2010年代には
26][28]。2010年代には	[26]。
その	発展形である
発展形である	深層学習が
ディープラーニング	深層学習が
深層学習が	凌駕し
画像認識や	囲碁で
囲碁で	凌駕し
人間を	凌駕し
凌駕し	生じた
[	26][29]、第3次ブームが
26][29]、第3次ブームが	生じた
生じた	[
[	30]。2020年代以降は
30]。2020年代以降は	[26]。
文章や	画像を
画像を	創り出す
自ら	創り出す
創り出す	生成AIが
生成AIが	普及し
社会に	普及し
普及し	[26]。
[	31][24][32][33]、これは
31][24][32][33]、これは	[26]。
第4次ブームとも	呼ばれ得る
呼ばれ得る	[
[	34]。汎用人工知能
34]。汎用人工知能	AGIの
AGIの	実現を
実現を	目指す
目指す	研究開発も
