   9 行う	を
   5 なる	と
   4 行う	が
   4 なる	が
   2 与える	が に を
   2 与える	に を
   2 与える	が
   2 なる	て と は
   2 行う	て に
   2 行う	が を
   2 なる	と ば
   2 なる	が に
   2 なる	が と
   2 なる	に
   1 与える	と は は へ を
   1 与える	は ば を
   1 与える	へ を
   1 与える	が を
   1 与える	が に
   1 行う	により も
   1 なる	から に は
   1 なる	から と は
   1 なる	こそ と
   1 なる	が につれて
   1 なる	が ので は は
   1 なる	が と にとって
   1 行う	に に は を を通じて
   1 なる	が に に は
   1 行う	が に を
   1 なる	が て と
   1 行う	に を
   1 行う	で を
   1 行う	て を
   1 なる	に も
   1 なる	に ば
   1 なる	に は
   1 なる	と も
   1 なる	で と
   1 なる	が て
   1 行う	も
   1 行う	で
   1 なる	は
